TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
623,8/1/2024,1002,107,402,0,536.16,0.60,Debit
624,8/2/2024,1011,108,401,0,125.6,0.45,Debit
625,8/2/2024,1002,108,402,0,125.6,0.70,Credit
626,8/5/2024,1003,108,403,0,37.68,0.80,Cash
627,8/5/2024,1006,104,406,0,129.3,0.60,Credit
628,8/14/2024,1011,107,401,0,201.06,0.85,Credit
629,8/14/2024,1006,101,406,0,2379.36,0.50,Credit
630,8/21/2024,1007,104,405,0,172.4,0.40,Debit
631,8/21/2024,1002,107,402,0,268.08,0.20,Credit
632,8/25/2024,1006,108,406,0,75.36,0.60,Debit
633,8/25/2024,1002,104,402,0,258.6,0.80,Credit
634,8/28/2024,1006,105,406,0,39.56,0.30,Cash
635,8/28/2024,1005,106,405,0,177.96,0.50,Credit
636,9/5/2024,1005,107,405,3,1072.32,0.75,Credit
637,9/5/2024,1007,107,405,3,1072.32,0.45,Debit
638,9/22/2024,1001,101,401,3,6344.96,0.65,Credit
639,9/22/2024,1007,104,405,3,689.6,0.20,Credit
640,9/30/2024,1005,107,405,3,268.08,0.70,Debit
641,9/30/2024,1010,103,402,3,45.52,0.45,Cash
642,10/10/2024,1002,101,402,0,5551.84,0.25,Credit
643,10/10/2024,1010,104,402,0,301.7,0.30,Debit
